state,originating_name,Total Approval Amount
AK,Unity National Bank of Houston,5618885.52
AK,The Park National Bank,5588922.71
AK,First-Citizens Bank & Trust Company,5577201.80
AK,Northwest FCU,5487191.24
AK,Simmons Bank,5483742.67
AK,Pathward National Association,5481917.82
AK,US Eagle FCU,5480022.69
AK,Cadence Bank,5468791.32
AK,People Trust,5462596.03
AK,Old National Bank,5451939.68
AL,"PNC Bank, National Association",2367449.39
AL,Liberty Bank,1954067.12
AL,The Adirondack Trust Company,1924138.04
AL,"Wells Fargo Bank, National Association",1884958.25
AL,"Kabbage, Inc.",1841631.53
AL,"Associated Bank, National Association",1747215.90
AL,"Community Bank, National Association",1560219.40
AL,Texas Bank,1553665.96
AL,Miners Exchange Bank,1528055.67
AL,Heartland Bank and Trust Company,1485797.81
AR,CalPrivate Bank,1463274.45
AR,"JPMorgan Chase Bank, National Association",946968.15
AR,Middlesex Savings Bank,932291.82
AR,Florida A&M University FCU,899158.07
AR,The Peoples Bank of Georgia,853724.18
AR,Suncoast CU,813469.30
AR,Community Savings Bank,762289.92
AR,Florence Bank,551307.83
AR,Tri City National Bank,551307.83
AR,Poppy Bank,551307.83
AZ,Commerce Bank,2981432.09
AZ,Bank of Ann Arbor,2928773.18
AZ,"TD Bank, National Association",2802691.17
AZ,NBKC Bank,2738825.40
AZ,Generations Bank,2692303.82
AZ,Citizens Bank & Trust,2601234.66
AZ,BTC Bank,2591497.55
AZ,CoBank ACB,2589078.67
AZ,"Waterford Bank, National Association",2483426.13
AZ,"Rock Canyon Bank, A Division of NBH Bank",2447191.34
CA,First Financial Bank,9318030.31
CA,The Northern Trust Company,9036154.07
CA,BNC National Bank,8432123.76
CA,Midwest BankCentre,8360105.68
CA,The Park National Bank,8220491.66
CA,First Western Trust Bank,8199830.05
CA,First Farmers Bank & Trust Co.,8110629.29
CA,"Capital Plus Financial, LLC",7938980.09
CA,American Lending Center,7914419.78
CA,United Community Bank,7858215.66
CO,"Middlesex Federal Savings, F.A.",1400630.87
CO,Woodforest National Bank,935737.00
CO,First Savings Bank,934080.50
CO,Farm Credit Services of Mid-America ACA,890049.50
CO,Bar Harbor Bank & Trust,886932.00
CO,Valliance Bank,872269.43
CO,The State Savings Bank of Manistique,868236.64
CO,TC Federal Bank,531362.38
CO,AmeriState Bank,531362.38
CO,First State Bank of Beecher City,527212.33
CT,Union Bank and Trust Company,4570195.01
CT,The Bancorp Bank National Association,4544264.52
CT,Primis Bank,4413809.70
CT,First American Bank,4398916.26
CT,"Readycap Lending, LLC",4367433.36
CT,Dogwood State Bank,4259810.04
CT,Capitol National Bank,4205255.47
CT,The Enterprise Center Capital Corporation,4204062.07
CT,United Community Bank,4177451.76
CT,City National Bank of Florida,4151058.76
DC,Tioga-Franklin Savings Bank,448819.50
DC,OMB Bank,448819.50
DC,Pathfinder Bank,448819.50
DC,Royal CU,448819.50
DC,First Fidelity Bank,448819.50
DC,First National Bank of Pennsylvania,448819.50
DC,"Mineola Community Bank, S.S.B.",448819.50
DC,Glenwood State Bank,448819.50
DC,Citizens Bank & Trust Company,448819.50
DC,Horizon Community Bank,448819.50
DE,First Financial Bank,3246196.78
DE,"Fund-Ex Solutions Group, LLC",3244922.35
DE,Boeing Empl CU,3145739.50
DE,Atlantic Union Bank,3133906.83
DE,First Chatham Bank,2669026.10
DE,The Central Trust Bank,2656793.61
DE,Glacier Bank,2605066.18
DE,Farmers and Merchants Bank,2551963.87
DE,Bank3,2546102.10
DE,People's Bank of Seneca,2505786.28
FL,Central Bank,7147114.65
FL,The Canandaigua National Bank and Trust Company,7098285.76
