state,Total Amount of Businesses
CA,876938
FL,659047
TX,654322
NY,487883
IL,398547
GA,357337
PA,241709
OH,240486
NJ,204539
MI,201004
NC,189402
MO,178632
MN,168340
TN,167123
VA,162338
LA,151017
MA,147904
CO,143821
WA,142565
WI,142139
MD,134125
IN,131971
IA,128366
AL,123332
OK,118543
AZ,118473
SC,108007
MS,101325
KY,99937
KS,97636
OR,85960
NE,85956
CT,83989
AR,78392
NV,74138
UT,61430
PR,58494
SD,47722
ID,40660
ND,39095
MT,38006
ME,35610
HI,34044
NM,31008
NH,29907
WV,25608
RI,24242
WY,19833
DE,18613
DC,18487
AK,17920
VT,16913
GU,2817
VI,2678
MP,746
AS,247
AE,2
FI,1
