state,servicing_name,Total Approval Amount
AK,The Bancorp Bank National Association,5786551.43
AK,"A10Capital, LLC",5714451.40
AK,"LendingClub Bank, National Association",5631349.49
AK,Bank of Labor,5608015.68
AK,First-Citizens Bank & Trust Company,5600007.43
AK,First Horizon Bank,5536465.57
AK,Primis Bank,5512511.42
AK,"Academy Bank, National Association",5506451.30
AK,Umpqua Bank,5498299.71
AK,First Bank,5489630.21
AL,WebBank,1425081.72
AL,"Incommons Bank, National Association",1377028.87
AL,Peoples State Bank,1318144.21
AL,Dacotah Bank,1317344.13
AL,Bank of the Panhandle,1215319.59
AL,Rolette State Bank,1120285.10
AL,Credit Union of Georgia,1078485.45
AL,Caldwell Bank & Trust Company,1011426.75
AL,Fortifi Bank,995261.31
AL,"Mineola Community Bank, S.S.B.",979155.92
AR,"Farmers State Bank of Alto Pass, Illinois",1400985.23
AR,Intuit Financing Inc.,1372916.14
AR,Tri Counties Bank,1333061.99
AR,Susser Bank,1283471.15
AR,Sandhills State Bank,1258456.55
AR,Union National Bank,1250349.51
AR,Banesco USA,1082437.32
AR,Texas Partners Bank,1014260.08
AR,Southern Bank of Tennessee,1011764.55
AR,"First Federal Community Bank, SSB",989444.55
AZ,Platinum FCU,3342847.75
AZ,Community Resource Bank,3154468.55
AZ,Everence FCU,3096456.23
AZ,American Community Bank of Indiana,2735910.26
AZ,Capitol Federal Savings Bank,2726594.68
AZ,Choice Financial Group,2712548.77
AZ,Optus Bank,2668753.73
AZ,The First National Bank of Williamson,2630399.16
AZ,InterBank,2541318.65
AZ,Washington Trust Bank,2533607.20
CA,First Command Bank,9568526.92
CA,Capitol National Bank,9389169.75
CA,Cache Valley Bank,9121727.87
CA,FineMark National Bank & Trust,8873454.12
CA,MidFirst Bank,8681075.09
CA,Studio Bank,8383978.81
CA,"Citizens Bank, National Association",8328434.51
CA,United Community Bank,8327117.47
CA,Simmons Bank,8279048.61
CA,Mid Penn Bank,8188771.25
CO,RVR Bank,1248031.76
CO,Landmark Bank,1239878.75
CO,MidWestOne Bank,971647.06
CO,MidFirst Bank,966193.15
CO,Community Bank of Pickens County,934079.88
CO,First Bank of the Lake,932762.37
CO,Farm Bureau Bank FSB,901851.40
CO,Texas Dow Empl CU,893697.30
CO,Meridian Bank,887421.60
CO,Vista Bank,886908.32
CT,First National Bank Alaska,4250967.53
CT,Heartland Bank and Trust Company,4249736.26
CT,"Fundbox, Inc.",4207715.04
CT,Fidelity Bank,3948310.21
CT,The Farmers National Bank of Canfield,3651021.68
CT,"Peoples National Bank, National Association",3600704.55
CT,First National Bank of Pennsylvania,3591651.78
CT,One World Bank,3544468.04
CT,First Freedom Bank,3508889.09
CT,Heartland Bank,3497372.50
DC,Horizon Bank,448819.50
DC,Ameris Bank,448819.50
DC,Cornerstone Capital Bank SSB,448819.50
DC,Country Club Bank,448819.50
DC,First Southwest Bank,448819.50
DC,The Cape Cod Five Cents Savings Bank,448819.50
DC,"Raza Development Fund, Inc.",448819.50
DC,Bank of Orchard,448819.50
DC,Premier Bank of the South,448819.50
DC,UNIFY Financial Federal Credit Union,448819.50
DE,First National Bank of Omaha,3379201.25
DE,Itria Ventures LLC,3317432.54
DE,"PNC Bank, National Association",3304922.56
DE,Independent Bank,3137448.30
DE,Mid Penn Bank,3111721.05
DE,Poppy Bank,3068908.87
DE,Bank of Labor,2923205.59
DE,"FC Marketplace, LLC (dba Funding Circle)",2821362.74
DE,American Bank,2726611.95
DE,Community National Bank,2705184.50
FL,Peoples Bank,8521600.12
FL,Central Pacific Bank,7353102.81
FL,The Bancorp Bank National Association,7157507.55
FL,Signature Bank,7121556.94
FL,Baxter CU,6896949.94
FL,Ameris Bank,6732284.00
FL,Pacific Western Bank,6730363.83
FL,First Southern State Bank,6616193.22
FL,Amarillo National Bank,6593270.15
FL,Choice Financial Group,6553809.63
GA,Peoples Savings Bank of Rhineland,2044327.53
GA,Mid-Missouri Bank,1895701.89
GA,Franklin Savings Bank,1849296.63
GA,Legacy Bank,1813094.58
GA,Independence Bank,1800228.67
GA,Korean American Catholics FCU,1764912.98
GA,Penn Community Bank,1764646.10
GA,Centris FCU,1755907.15
GA,"Stride Bank, National Association",1741674.65
GA,First Heritage Bank,1693627.47
IA,Kennebec Savings Bank,595183.60
IA,Clear Fork Bank National Association,595183.60
IA,Texoma Community CU,551571.38
IA,Kingston National Bank,551571.38
IA,Meade County Bank,533269.50
IA,Bandera Bank,533269.50
IA,Vermont FCU,465901.20
IA,Empire Financial Federal Credit Union,465901.20
IA,America's Christian CU,453270.12
IA,Wyoming Bank & Trust,453270.12
ID,"Leader Bank, National Association",4951780.18
ID,"First Western SBLC, Inc",3983158.04
ID,The Central Trust Bank,3963585.03
ID,Celtic Bank Corporation,3963010.75
ID,Peoples Bank & Trust,3946287.17
ID,Republic Bank of Chicago,3900034.16
ID,Armstrong Bank,3883339.13
ID,Tioga-Franklin Savings Bank,3874534.23
ID,First Southern National Bank,3850575.67
ID,Live Oak Banking Company,3819056.53
IL,FirstOak Bank,1622752.60
IL,"The First National Bank and Trust Co, Chickasha, Oklahoma",1610569.49
IL,PrinsBank,1549815.85
IL,Southern Illinois Bank,1494540.07
IL,First Secure Community Bank,1466898.55
IL,Pilgrim Bank,1411101.53
IL,Dupaco Community CU,1384511.08
IL,Alpine Capital Bank,1381969.12
IL,The Bank,1372726.58
IL,The First National Bank of Scott City,1355194.58
IN,Gulf Coast Bank,2228658.29
IN,"MVB Bank, Inc.",1842167.84
